point,city,date-time,temperature,humidity
108,seoul,2022.10.1 0:00,18.5,77
108,seoul,2022.10.1 1:00,17.7,79
108,seoul,2022.10.1 2:00,17.2,79
108,seoul,2022.10.1 3:00,16.4,82
108,seoul,2022.10.1 4:00,16.1,81
108,seoul,2022.10.1 5:00,15.3,85
108,seoul,2022.10.1 6:00,14.9,86
108,seoul,2022.10.1 7:00,14.4,88
108,seoul,2022.10.1 8:00,15.9,86
108,seoul,2022.10.1 9:00,18.5,75
108,seoul,2022.10.1 10:00,20.7,69
108,seoul,2022.10.1 11:00,23.1,58
108,seoul,2022.10.1 12:00,25,50
108,seoul,2022.10.1 13:00,26.6,39
108,seoul,2022.10.1 14:00,27.5,35
108,seoul,2022.10.1 15:00,27.1,35
108,seoul,2022.10.1 16:00,26.2,36
108,seoul,2022.10.1 17:00,25.1,49
108,seoul,2022.10.1 18:00,24.1,50
108,seoul,2022.10.1 19:00,22.9,53
108,seoul,2022.10.1 20:00,22.2,58
108,seoul,2022.10.1 21:00,21.7,60
108,seoul,2022.10.1 22:00,21,64
108,seoul,2022.10.1 23:00,20.8,64
108,seoul,2022.10.2 0:00,19.6,68
108,seoul,2022.10.2 1:00,19,72
108,seoul,2022.10.2 2:00,18.8,75
108,seoul,2022.10.2 3:00,19.2,74
108,seoul,2022.10.2 4:00,19.4,72
108,seoul,2022.10.2 5:00,19.5,72
108,seoul,2022.10.2 6:00,19.5,72
108,seoul,2022.10.2 7:00,19.2,79
108,seoul,2022.10.2 8:00,18.9,79
108,seoul,2022.10.2 9:00,19.2,81
108,seoul,2022.10.2 10:00,20,75
108,seoul,2022.10.2 11:00,20.5,71
108,seoul,2022.10.2 12:00,20.9,69
108,seoul,2022.10.2 13:00,21.4,69
108,seoul,2022.10.2 14:00,21.3,67
108,seoul,2022.10.2 15:00,21.1,67
108,seoul,2022.10.2 16:00,21.4,64
108,seoul,2022.10.2 17:00,21.4,62
108,seoul,2022.10.2 18:00,19.8,79
108,seoul,2022.10.2 19:00,18.5,91
108,seoul,2022.10.2 20:00,17.9,89
108,seoul,2022.10.2 21:00,17.7,92
108,seoul,2022.10.2 22:00,17.4,95
108,seoul,2022.10.2 23:00,17.3,97
108,seoul,2022.10.3 0:00,17.5,97
108,seoul,2022.10.3 1:00,17.7,99
108,seoul,2022.10.3 2:00,17.9,96
108,seoul,2022.10.3 3:00,18,99
108,seoul,2022.10.3 4:00,18.2,99
108,seoul,2022.10.3 5:00,18.4,100
108,seoul,2022.10.3 6:00,18.6,100
108,seoul,2022.10.3 7:00,18.9,99
108,seoul,2022.10.3 8:00,19.2,99
108,seoul,2022.10.3 9:00,19.6,99
108,seoul,2022.10.3 10:00,20.1,99
108,seoul,2022.10.3 11:00,20.6,100
108,seoul,2022.10.3 12:00,22.3,100
108,seoul,2022.10.3 13:00,22.6,100
108,seoul,2022.10.3 14:00,22.9,99
108,seoul,2022.10.3 15:00,22.9,99
108,seoul,2022.10.3 16:00,23,97
108,seoul,2022.10.3 17:00,23.2,97
108,seoul,2022.10.3 18:00,23.2,96
108,seoul,2022.10.3 19:00,23.3,96
108,seoul,2022.10.3 20:00,23.3,97
108,seoul,2022.10.3 21:00,23.2,95
108,seoul,2022.10.3 22:00,23.1,96
108,seoul,2022.10.3 23:00,22.8,99
108,seoul,2022.10.4 0:00,23,100
108,seoul,2022.10.4 1:00,22.4,99
108,seoul,2022.10.4 2:00,21.8,98
108,seoul,2022.10.4 3:00,21.3,96
108,seoul,2022.10.4 4:00,20.5,96
108,seoul,2022.10.4 5:00,20.2,96
108,seoul,2022.10.4 6:00,19.7,97
108,seoul,2022.10.4 7:00,18.4,96
108,seoul,2022.10.4 8:00,17.3,96
108,seoul,2022.10.4 9:00,17.1,93
108,seoul,2022.10.4 10:00,17.1,88
108,seoul,2022.10.4 11:00,17.4,86
108,seoul,2022.10.4 12:00,18.3,81
108,seoul,2022.10.4 13:00,18.8,80
108,seoul,2022.10.4 14:00,19.1,77
108,seoul,2022.10.4 15:00,19.1,76
108,seoul,2022.10.4 16:00,18.9,73
108,seoul,2022.10.4 17:00,18.2,72
108,seoul,2022.10.4 18:00,17.4,85
108,seoul,2022.10.4 19:00,16.9,74
108,seoul,2022.10.4 20:00,16.4,69
108,seoul,2022.10.4 21:00,15.7,69
108,seoul,2022.10.4 22:00,15,69
108,seoul,2022.10.4 23:00,14.4,70
108,seoul,2022.10.5 0:00,14.2,73
108,seoul,2022.10.5 1:00,14.1,74
108,seoul,2022.10.5 2:00,14.1,78
108,seoul,2022.10.5 3:00,14.5,86
108,seoul,2022.10.5 4:00,14.4,91
108,seoul,2022.10.5 5:00,14.2,92
108,seoul,2022.10.5 6:00,14.2,91
108,seoul,2022.10.5 7:00,14.3,90
108,seoul,2022.10.5 8:00,14.7,85
108,seoul,2022.10.5 9:00,15.4,82
108,seoul,2022.10.5 10:00,16.9,71
108,seoul,2022.10.5 11:00,18.5,65
108,seoul,2022.10.5 12:00,18.9,63
108,seoul,2022.10.5 13:00,20.7,58
108,seoul,2022.10.5 14:00,20.2,58
108,seoul,2022.10.5 15:00,21.3,55
108,seoul,2022.10.5 16:00,20.6,53
108,seoul,2022.10.5 17:00,19.3,59
108,seoul,2022.10.5 18:00,17.7,65
108,seoul,2022.10.5 19:00,17.1,69
108,seoul,2022.10.5 20:00,16.7,74
108,seoul,2022.10.5 21:00,15.9,76
108,seoul,2022.10.5 22:00,15.2,80
108,seoul,2022.10.5 23:00,14.9,79
108,seoul,2022.10.6 0:00,14.6,80
108,seoul,2022.10.6 1:00,14.4,81
108,seoul,2022.10.6 2:00,14.2,81
